part_name,total_dimension_count,linear_dimension_count,diameter_dimension_count,radius_dimension_count,angular_dimension_count,hole_fit_count,shaft_fit_count,n_dia_tol,n_lin_tol,stats_dim_tol_lin_min,stats_dim_tol_lin_max,stats_dim_tol_lin_avg,stats_dim_tol_dia_min,stats_dim_tol_dia_max,stats_dim_tol_dia_avg,surface_spec_count,stats_surface_min,stats_surface_max,stats_surface_avg,has_concentricity,has_flatness,has_parallelism,has_perpendicularity,has_position,total_tolerance_count,gtol_max_datum_refs,gtol_share_with_datum,stats_geom_tol_min,stats_geom_tol_max,stats_geom_tol_avg,Processes
CMod_00000138027-A,10,7,1,2,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,['fräsen']
CMod_00000139015-A,13,5,5,1,2,0,0,0,0,,,,,,,2,6.0,6.0,6.0,0,1,1,1,0,5,1,0.8,0.1,0.1,0.1,"['drehen', 'fräsen']"
CMod_00000139067-A,16,10,4,2,0,0,0,0,0,,,,,,,3,6.0,16.0,9.333333333333334,0,1,1,1,0,5,1,0.8,0.1,0.1,0.1,['fräsen']
CMod_00000139594-A,27,17,7,3,0,0,0,0,0,,,,,,,7,6.0,16.0,7.428571428571429,0,1,1,1,0,11,0,0.0,0.1,0.1,0.1,"['drehen', 'fräsen']"
CMod_00000139703-A,27,16,7,4,0,0,0,0,0,,,,,,,2,6.0,6.0,6.0,0,1,1,1,0,10,1,0.9,0.1,0.1,0.1,"['drehen', 'fräsen']"
CMod_00000141574-A,3,2,1,0,0,0,0,0,0,,,,,,,0,,,,0,0,0,1,0,1,1,1.0,0.5,0.5,0.5,['drehen']
CMod_00000142373-A,14,6,6,0,2,0,0,2,0,,,,0.5,0.5,0.5,3,63.0,63.0,63.0,0,0,1,1,0,3,1,1.0,0.1,0.1,0.1,"['drehen', 'fräsen']"
CMod_00000142374-A,15,8,5,1,1,0,0,2,0,,,,0.5,0.5,0.5,3,63.0,63.0,63.0,0,0,1,1,0,2,1,1.0,0.1,0.1,0.1,"['drehen', 'fräsen']"
CMod_00000144428-A,5,5,0,0,0,0,0,0,0,,,,,,,1,100.0,100.0,100.0,0,0,0,0,0,0,0,0.0,,,,['fräsen']
CMod_00000144504-A,5,5,0,0,0,0,0,0,0,,,,,,,1,100.0,100.0,100.0,0,0,0,0,0,0,0,0.0,,,,['fräsen']
CMod_00000145639-A,17,8,4,3,2,0,0,0,0,,,,,,,3,6.0,16.0,9.333333333333334,0,1,1,1,1,6,2,0.6666666666666666,0.05,0.1,0.0916666666666666,"['drehen', 'bohren', 'fräsen']"
CMod_00000145821-A,25,18,2,5,0,0,0,0,0,,,,,,,10,6.0,16.0,8.0,0,1,1,1,0,12,0,0.0,0.1,0.1,0.1,"['drehen', 'fräsen']"
CMod_00000145853-A,16,10,2,4,0,0,0,0,0,,,,,,,0,,,,0,0,1,1,0,4,1,1.0,0.1,0.1,0.1,['fräsen']
CMod_00000146312-A,26,23,1,2,0,0,2,0,0,,,,,,,0,,,,0,1,0,1,1,7,3,0.8571428571428571,0.02,0.1,0.0771428571428571,['fräsen']
CMod_00000147648-A,21,9,6,6,0,0,0,0,0,,,,,,,2,16.0,16.0,16.0,0,1,1,1,0,10,1,0.8,0.1,0.1,0.1,"['drehen', 'fräsen']"
CMod_00000150523-A,9,9,0,0,0,0,0,0,0,,,,,,,1,100.0,100.0,100.0,0,0,0,0,0,0,0,0.0,,,,['fräsen']
CMod_00000150554-A,5,5,0,0,0,0,0,0,0,,,,,,,1,100.0,100.0,100.0,0,0,0,0,0,0,0,0.0,,,,['fräsen']
CMod_00000152117-A,24,17,1,4,2,2,0,0,1,0.3,0.3,0.3,,,,2,25.0,100.0,62.5,0,1,1,1,1,9,3,0.8888888888888888,0.03,0.5,0.2233333333333333,['fräsen']
